id;category;name;QID;type;inscription_year;criteria;location;description;transnational;danger_list;danger_list_year;coordinates;extensions
1;World Heritage List;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;Cultural;1990;i, ii, iii, iv;Kyiv;Founded in the 11th century, this property includes the Saint-Sophia Cathedral and the Kyiv-Pechersk Lavra monastery complex. The cathedral preserves one of the world's largest ensembles of unique mosaics and frescoes from the first quarter of the 11th century. The monastery became the centre of Christianity in Kyivan Rus in the 11th century.;No;Yes;2023;;
2;World Heritage List;L'viv – the Ensemble of the Historic Centre;Q2592613;Cultural;1998;ii, v;Lviv;The city of L'viv, founded in the late Middle Ages, was a flourishing administrative, religious and commercial centre for several centuries. The medieval urban topography has been preserved virtually intact, along with many fine Baroque and later buildings.;No;Yes;2023;;
3;World Heritage List;Struve Geodetic Arc;Q192243;Cultural;2005;ii, iv, vi;Multiple locations;The Struve Arc is a chain of survey triangulations stretching from Hammerfest in Norway to the Black Sea, through ten countries and over 2,820 km. These are points of a survey, carried out between 1816 and 1855 by the astronomer Friedrich Georg Wilhelm Struve, which represented the first accurate measuring of a long segment of a meridian.;Yes (10 countries: Norway, Sweden, Finland, Russia, Estonia, Latvia, Lithuania, Belarus, Moldova, Ukraine);No;;;
4;World Heritage List;Residence of Bukovinian and Dalmatian Metropolitans;Q156067;Cultural;2011;ii, iii, iv;Chernivtsi;The Residence, built between 1864 and 1882 by Czech architect Josef Hlavka, represents a masterful synergy of architectural styles and building craftsmanship. The property, an outstanding example of 19th-century historicist architecture, also includes a seminary and monastery, illustrating the cultural identity of Orthodox Christianity.;No;No;;48.2908 N 25.9353 E;
5;World Heritage List;Ancient City of Tauric Chersonese and its Chora;Q64532917;Cultural;2013;ii, v;Crimea (Sevastopol);Founded by Dorian Greeks in the 5th century BC on the northern shores of the Black Sea. The site features remains of a polis with urban structures and agricultural lands divided into several hundreds of chora (rectangular plots). The city thrived until the 15th century as a productive wine centre and hub of exchange between Greek, Roman and Byzantine Empires.;No;No;;44.6108 N, 33.4914 E;
6;World Heritage List;Wooden Tserkvas of the Carpathian Region in Poland and Ukraine;Q8032604;Cultural;2013;iii, iv;Carpathian region;Situated in the eastern fringe of Central Europe, sixteen wooden tserkvas (churches) were built between the 16th and 19th centuries by communities of Orthodox and Greek Catholic faiths. They represent outstanding examples of vernacular religious architecture, which integrates characteristic elements of Byzantine tradition with local traditions.;Yes (Poland and Ukraine);No;;;
7;World Heritage List;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Q156011;Natural;2007 (extended 2011/2017/2021);ix;Carpathian region;This transnational property includes examples of undisturbed temperate forests that demonstrate the postglacial expansion process of European beech. The Ukrainian components are located in the Carpathian Biosphere Reserve and include the Uholka-Shyrokyi Luh and Svydovets areas.;Yes (18 countries: Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, France, Germany, Italy, North Macedonia, Poland, Romania, Slovakia, Slovenia, Spain, Switzerland, Ukraine);No;;;
8;World Heritage List;The Historic Centre of Odesa;Q15041608;Cultural;2023;ii, iv;Odesa;A cosmopolitan port city on the Black Sea, Odesa reflects the successful fusion of different cultural influences. The city was founded at the end of the 18th century by Catherine II and became an important trading gateway and a cultural melting pot.;No;Yes;2023;;
9;Tentative List;Historic Centre of Tchernigov, 9th—13th centuries;Q4752811;Cultural;Submitted 2006;;Chernihiv, Chernihiv Oblast;Historic urban landscape built between the 9th and 13th centuries. Deeply affected in early months of 2022 war. UNESCO assisting with rehabilitation plan.;;;;;
10;Tentative List;Cultural Landscape of Canyon in Kamenets-Podilsk;Q193965;Cultural;Submitted 2006;;Sudak Crimea;Medieval defensive architecture highlighting fortifications from the 6th to 16th centuries. Located in occupied Crimea.;;;;;
11;Tentative List;Tarass Shevtchenko Tomb and State Historical and Natural Museum - Reserve;Q64556122;Cultural;Submitted 2016;;Kyiv, Kyiv Oblast;Proposed extension of existing World Heritage site to include additional churches of historic and architectural significance.;;;;;
12;Tentative List;"National Steppe Biosphere Reserve ""Askaniya Nowa""";Q708096;Cultural;Submitted 2020;;Multiple locations;Serial transnational nomination documenting Genoese commercial and military architecture along medieval trade routes.;;;;;
13;Tentative List;"Dendrological Park ""Sofijivka""";Q2297522;Cultural;;;Bakhchysarai Crimea;Former residence of Crimean Khans. Located in occupied Crimea.;;;;;
14;Tentative List;Bagçesaray Palace of the Crimean Khans;Q743881;Cultural;;;Balaklava Crimea;Medieval Genoese fortification. Located in occupied Crimea.;;;;;
15;Tentative List;"Archaeological Site ""Stone Tomb""";Q926255;Cultural;;;Kamyanets-Podilsky Khmelnytskyi Oblast;Historic fortified city with well-preserved medieval and early modern architecture.;;;;;
16;Tentative List;Mykolayiv Astronomical Observatory;Q4320429;Cultural;;;Kyiv;Proposed expansion focusing on Sophia Cathedral complex and surrounding cultural landscape.;;;;;
17;Tentative List;Complex of the Sudak Fortress Monuments of the 6th – 16th c.;Q4135567;Cultural;;;Pochayiv Ternopil Oblast;Important Orthodox monastery and pilgrimage site.;;;;;
18;Tentative List;Kyiv: Saint Sophia Cathedral with Related Monastic Buildings, St. Cyril's and St. Andrew's Churches, Kyiv-Pechersk Lavra (extension of Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra);Q64557293;Cultural;;;Carpathian region;System of medieval defensive structures in the Carpathian Mountains.;;;;;
19;Tentative List;Trading Posts and Fortifications on Genoese Trade Routes. From the Mediterranean to the Black Sea;Q64735573;Cultural;;;Kaniv Cherkasy Oblast;Memorial site of Ukraine's national poet. Granted UNESCO enhanced protection in 2023.;;;;;
20;Tentative List;"Cultural Landscape of ""Cave Towns"" of the Crimean Gothia";Q64557586;Cultural;;;Ternopil Oblast;Historic urban ensembles with significant architectural heritage.;;;;;
21;Tentative List;The historical surroundings of Crimean Khans' capital in Bakhchysarai;Q64557740;Cultural;;;Ichnia Chernihiv Oblast;18th-19th century palace complex with landscape park.;;;;;
22;Tentative List;Derzhprom (the State Industry Building);Q1975624;Cultural;;;Pochayiv Ternopil Oblast;Historic cathedral within Pochayiv Lavra complex.;;;;;
23;Tentative List;Tyras - Bilhorod (Akkerman), on the way from the Black Sea to the Baltic Sea;Q1968086;Natural;;;Ternopil and Chernivtsi Oblasts;Unique natural canyon landscape along the Dniester River.;;;;;
24;Tentative List;Danube Biosphere Reserve;Q7277101;Natural;;;Odesa Oblast;Important wetland ecosystem at the Danube Delta.;;;;;
25;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2023 Report;;;;Under permanent threat since February 24 2022. Inscribed on List of World Heritage in Danger September 2023. Physical damage in buffer zone. Management plan development stalled due to war.;;;;;
26;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2024 Report;;;;Continued monitoring and protection efforts. Ongoing threats from armed conflict. Emergency preparedness measures implemented.;;;;;
27;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2025 Report;;;;Report submitted by State Party. Assessment ongoing.;;;;;
28;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2023 Report;;;;Inscribed on List of World Heritage in Danger September 2023. Under permanent threat since February 24 2022. Vulnerable to shockwaves from bombing. Multiple protection measures implemented by Ukrainian authorities.;;;;;
29;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2024 Report;;;;Continued protection and monitoring. Emergency response protocols in place. Training for cultural professionals.;;;;;
30;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2025 Report;;;;Report submitted by State Party. Assessment ongoing.;;;;;
31;State of Conservation;The Historic Centre of Odesa;Q15041608;2023 Report;;;;Inscribed simultaneously on World Heritage List and List of World Heritage in Danger January 25 2023. Significant damage from aerial assaults including July 2023 strikes affecting museums. 52 cultural properties reported damaged of which 47 verified by UNESCO mission.;;;;;
32;State of Conservation;The Historic Centre of Odesa;Q15041608;2024 Report;;;;Major attacks November 14-15 2024 damaged historic buildings within property boundaries. Management plan development in progress with UNESCO-ICOMOS support. UNESCO-Japan Funds-in-Trust project providing USD 5.9 million for monitoring and emergency response. UNESCO-Italy project USD 530000 for protective roof on Transfiguration Cathedral.;;;;;
33;State of Conservation;The Historic Centre of Odesa;Q15041608;2025 Report;;;;Report submitted by State Party. Ongoing protection and rehabilitation efforts.;;;;;
34;State of Conservation;Ancient City of Tauric Chersonese and its Chora;Q64532917;2016 Report;;;;Critical state of conservation of ruins with high dilapidation. Some structures close to collapse. Located in occupied Crimea restricting UNESCO access since 2014.;;;;;
35;State of Conservation;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Q156011;2023 Report;;;;Monitoring challenges due to war. No direct conflict damage reported to Ukrainian components as of 2023.;;;;;
36;State of Conservation;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Q156011;2025 Report;;;;Continued monitoring within security constraints.;;;;;
37;General Information;Total World Heritage Sites in Ukraine;;8;;;;7 cultural and 1 natural site. 3 sites currently on List of World Heritage in Danger (Kyiv, Lviv, Odesa). 3 sites are transnational.;;;;;
38;General Information;Total Tentative List Sites;;16;;;;16 sites on Tentative List awaiting nomination. Several located in occupied territories.;;;;;
39;General Information;Enhanced Protection List;;27;;;;25 sites added to International List of Cultural Property Under Enhanced Protection in 2023. 2 additional sites (Babyn Yar Memorial and Odesa Literary Museum) added December 2024. Total 27 sites under enhanced protection.;;;;;
40;General Information;Verified Damage;;343 sites (as of 2024);;;;UNESCO verified damage to 343 cultural sites as of February 2024: 31 museums 127 religious sites 151 buildings of historical/artistic interest 19 monuments 14 libraries 1 archive. Worst affected regions: Donetsk (88 sites) Kharkiv (56 sites) Odesa (49 sites) Kyiv (39 sites) Luhansk (34 sites).;;;;;
41;General Information;Recovery Costs;;USD 9 billion;;;;Estimated cost for recovery and reconstruction of culture and tourism sectors 2024-2033. Increased from USD 6.9 billion in 2023.;;;;;
42;General Information;UNESCO Funding;;USD 66 million;;;;UNESCO raised over USD 66 million from Member States and private sector over 2 years (2022-2024). Japan contributed almost USD 26 million.;;;;;